n type t_tot t_blk lambda s feed x y z
10 0 1.254000 1.248000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.260000 1.254000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.266000 1.260000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.272000 1.266000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.284000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.290000 0.006000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.296000 0.012000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.302000 0.018000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.308000 0.024000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.314000 0.030000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.320000 0.036000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.326000 0.042000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.332000 0.048000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.338000 0.054000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.344000 0.060000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.350000 0.066000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.356000 0.072000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.362000 0.078000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.368000 0.084000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.374000 0.090000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.380000 0.096000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.386000 0.102000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.392000 0.108000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.398000 0.114000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.404000 0.120000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.410000 0.126000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.416000 0.132000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.422000 0.138000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.428000 0.144000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.434000 0.150000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.440000 0.156000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.446000 0.162000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.452000 0.168000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.458000 0.174000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.464000 0.180000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.470000 0.186000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.476000 0.192000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
